Question,Segment Type,Segment Description,Answer,Count,Percentage
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Mobile,Mobile respondents,Instagram,2559,0.273
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Mobile,Mobile respondents,Facebook,1182,0.126
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Web,Web-based respondents,Instagram,30,0.256
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Female respondents,Instagram,1576,0.3
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Female respondents,Facebook,644,0.122
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Male respondents,Instagram,1008,0.24
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Male respondents,Facebook,565,0.135
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Indiana University,Snapchat,24,0.49
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Indiana University,Linkedin,2,0.041
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Instagram,10,0.172
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Facebook,14,0.241
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Snapchat,32,0.552
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Linkedin,2,0.034
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Instagram,8,0.205
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Facebook,12,0.308
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Snapchat,16,0.41
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Linkedin,3,0.077
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Instagram,7,0.189
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Facebook,9,0.243
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Snapchat,20,0.541
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Linkedin,1,0.027
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Virginia Tech,Instagram,8,0.286
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Virginia Tech,Facebook,4,0.143
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Writing in Bernie,Linkedin,3,0.029
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Instagram,135,0.236
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Facebook,121,0.212
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Snapchat,297,0.519
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Linkedin,19,0.033
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Instagram,103,0.312
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Facebook,55,0.167
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Snapchat,163,0.494
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Linkedin,9,0.027
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Instagram,237,0.27
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Facebook,154,0.176
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Snapchat,450,0.513
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Linkedin,36,0.041
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Instagram,97,0.274
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Facebook,74,0.209
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Snapchat,170,0.48
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Linkedin,13,0.037
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? PC ??,Instagram,93,0.252
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Instagram,39,0.214
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Facebook,48,0.264
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Snapchat,86,0.473
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Linkedin,9,0.049
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Instagram,56,0.289
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Facebook,36,0.186
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Snapchat,93,0.479
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Linkedin,9,0.046
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Instagram,0,0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Facebook,0,0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Snapchat,1,1
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Linkedin,0,0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Liberal ??,Facebook,124,0.209
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Liberal ??,Snapchat,285,0.48
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Liberal ??,Linkedin,19,0.032
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative ??,Instagram,102,0.248
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative ??,Facebook,53,0.129
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative ??,Snapchat,234,0.568
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative ??,Linkedin,23,0.056
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 15-17,Linkedin,2,0.028
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Instagram,1,0.5
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Facebook,0,0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Snapchat,1,0.5
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Linkedin,0,0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Instagram,1116,0.265
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Facebook,711,0.169
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Snapchat,2265,0.537
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Linkedin,127,0.03
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Instagram,9,0.231
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Facebook,6,0.154
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Snapchat,22,0.564
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Linkedin,2,0.051
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Instagram,36,0.22
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Facebook,29,0.177
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Snapchat,86,0.524
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Linkedin,13,0.079
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Muslim,Snapchat,11,0.647
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Muslim,Linkedin,1,0.059
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Jewish,Instagram,12,0.132
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Jewish,Facebook,32,0.352
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Jewish,Snapchat,42,0.462
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Jewish,Linkedin,5,0.055
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Bi,Instagram,26,0.382
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Bi,Facebook,11,0.162
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Bi,Snapchat,30,0.441
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Bi,Linkedin,1,0.015
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Straight,Instagram,266,0.277
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Straight,Facebook,127,0.132
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Straight,Snapchat,545,0.567
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Straight,Linkedin,23,0.024
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Gay,Instagram,10,0.345
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Gay,Facebook,5,0.172
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Gay,Snapchat,14,0.483
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Gay,Linkedin,0,0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Other,Instagram,14,0.438
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Other,Facebook,4,0.125
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Other,Snapchat,13,0.406
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Other,Linkedin,1,0.031
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Christian,Instagram,123,0.293
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Christian,Facebook,71,0.169
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Christian,Snapchat,206,0.49
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? Christian,Linkedin,20,0.048
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Jill Stein,Instagram,5,0.238
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Jill Stein,Facebook,3,0.143
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Jill Stein,Snapchat,11,0.524
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Jill Stein,Linkedin,2,0.095
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? Black,Instagram,19,0.297
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? Black,Facebook,7,0.109
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? Black,Snapchat,37,0.578
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? Black,Linkedin,1,0.016
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Confused,Instagram,13,0.325
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Confused,Facebook,8,0.2
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Confused,Snapchat,19,0.475
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Sexual orientation? Confused,Linkedin,0,0
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Grad School,Instagram,80,0.327
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Grad School,Facebook,34,0.139
